dataset,alpha,threshold,topics,NMI,matched,total,coverage_%,FMR_%,runtime_s,phase,
T,0.4,0.5,394,0.0000,5938,11108,53.46,53.46,2721.58,coarse,
T,0.4,0.6,263,0.8694,5978,11108,53.82,53.82,1447.36,coarse,
T,0.4,0.7,234,0.8734,7075,11108,63.69,63.69,1071.06,coarse,
T,0.4,0.8,187,0.8434,8455,11108,76.12,76.12,625.03,coarse,
T,0.4,0.9,114,0.7621,9754,11108,87.81,87.81,228.06,coarse,
T,0.5,0.5,431,0.8835,5214,11108,46.94,46.94,340.72,coarse,
T,0.5,0.6,316,0.8737,5740,11108,51.67,51.67,261.41,coarse,
T,0.5,0.7,242,0.8790,6995,11108,62.97,62.97,260.02,coarse,
T,0.5,0.8,203,0.8562,8075,11108,72.70,72.70,136.18,coarse,
T,0.5,0.9,141,0.8034,9708,11108,87.40,87.40,59.23,coarse,
T,0.6,0.5,511,0.8748,4338,11108,39.05,39.05,79.37,coarse,
T,0.6,0.6,332,0.8720,4953,11108,44.59,44.59,60.08,coarse,
T,0.6,0.7,241,0.8720,6834,11108,61.52,61.52,29.42,coarse,
T,0.6,0.8,203,0.8670,7566,11108,68.11,68.11,43.40,coarse,
T,0.6,0.9,151,0.7994,8990,11108,80.93,80.93,23.30,coarse,
T,0.7,0.5,576,0.8919,4999,11108,45.00,45.00,39.44,coarse,
T,0.7,0.6,381,0.8884,4842,11108,43.59,43.59,30.11,coarse,
T,0.7,0.7,280,0.8667,6187,11108,55.70,55.70,23.97,coarse,
T,0.7,0.8,195,0.8616,8175,11108,73.60,73.60,18.31,coarse,
T,0.7,0.9,133,0.7942,9521,11108,85.71,85.71,17.12,coarse,
T,0.8,0.5,705,0.8992,4322,11108,38.91,38.91,47.05,coarse,
T,0.8,0.6,415,0.8668,4559,11108,41.04,41.04,31.29,coarse,
T,0.8,0.7,279,0.8489,6156,11108,55.42,55.42,22.04,coarse,
T,0.8,0.8,191,0.8294,8076,11108,72.70,72.70,16.61,coarse,
T,0.8,0.9,154,0.7852,8710,11108,78.41,78.41,15.38,coarse,
T,0.9,0.5,779,0.8932,3844,11108,34.61,34.61,46.47,coarse,
T,0.9,0.6,536,0.8919,4339,11108,39.06,39.06,37.45,coarse,
T,0.9,0.7,340,0.8730,5790,11108,52.12,52.12,26.37,coarse,
T,0.9,0.8,219,0.8133,7670,11108,69.05,69.05,18.24,coarse,
T,0.9,0.9,151,0.7459,9278,11108,83.53,83.53,15.79,coarse,
TS,0.4,0.5,262,0.9254,7533,11109,67.81,67.81,310.39,coarse,
TS,0.4,0.6,196,0.9189,7785,11109,70.08,70.08,97.05,coarse,
TS,0.4,0.7,163,0.9119,8664,11109,77.99,77.99,64.78,coarse,
TS,0.4,0.8,111,0.7945,9143,11109,82.30,82.30,37.02,coarse,
TS,0.4,0.9,70,0.6075,11006,11109,99.07,99.07,23.24,coarse,
TS,0.5,0.5,332,0.9231,7724,11109,69.53,69.53,33.18,coarse,
TS,0.5,0.6,203,0.9174,8146,11109,73.33,73.33,22.89,coarse,
TS,0.5,0.7,169,0.9029,9022,11109,81.21,81.21,18.94,coarse,
TS,0.5,0.8,133,0.8152,9243,11109,83.20,83.20,17.93,coarse,
TS,0.5,0.9,30,0.5485,11050,11109,99.47,99.47,9.87,coarse,
TS,0.6,0.5,399,0.9187,6432,11109,57.90,57.90,28.30,coarse,
TS,0.6,0.6,224,0.9086,7521,11109,67.70,67.70,20.87,coarse,
TS,0.6,0.7,157,0.9149,8796,11109,79.18,79.18,16.52,coarse,
TS,0.6,0.8,137,0.8240,9305,11109,83.76,83.76,16.90,coarse,
TS,0.6,0.9,33,0.6254,11103,11109,99.95,99.95,9.71,coarse,
TS,0.7,0.5,571,0.9014,6414,11109,57.74,57.74,33.08,coarse,
TS,0.7,0.6,260,0.8925,6539,11109,58.86,58.86,19.48,coarse,
TS,0.7,0.7,172,0.8989,8309,11109,74.80,74.80,16.93,coarse,
TS,0.7,0.8,101,0.7789,10077,11109,90.71,90.71,13.04,coarse,
TS,0.7,0.9,50,0.6123,10810,11109,97.31,97.31,9.07,coarse,
TS,0.8,0.5,653,0.8912,6175,11109,55.59,55.59,42.31,coarse,
TS,0.8,0.6,305,0.9008,6270,11109,56.44,56.44,25.00,coarse,
TS,0.8,0.7,181,0.8571,8335,11109,75.03,75.03,15.86,coarse,
TS,0.8,0.8,124,0.7622,9724,11109,87.53,87.53,13.82,coarse,
TS,0.8,0.9,53,0.6222,11058,11109,99.54,99.54,9.36,coarse,
TS,0.9,0.5,680,0.8877,5820,11109,52.39,52.39,45.94,coarse,
TS,0.9,0.6,382,0.8905,5898,11109,53.09,53.09,26.94,coarse,
TS,0.9,0.7,207,0.8497,7790,11109,70.12,70.12,17.53,coarse,
TS,0.9,0.8,116,0.7667,9995,11109,89.97,89.97,13.07,coarse,
TS,0.9,0.9,54,0.5771,10867,11109,97.82,97.82,10.26,coarse,
S,0.4,0.5,260,0.8792,8272,11108,74.47,74.47,372.62,coarse,
S,0.4,0.6,189,0.8815,8347,11108,75.14,75.14,186.66,coarse,
S,0.4,0.7,159,0.8538,9196,11108,82.79,82.79,137.33,coarse,
S,0.4,0.8,104,0.7349,10095,11108,90.88,90.88,65.51,coarse,
S,0.4,0.9,31,0.5121,11108,11108,100.00,100.00,19.90,coarse,
S,0.5,0.5,359,0.8879,7233,11108,65.12,65.12,109.12,coarse,
S,0.5,0.6,191,0.8941,8282,11108,74.56,74.56,36.60,coarse,
S,0.5,0.7,165,0.8720,8888,11108,80.01,80.01,32.49,coarse,
S,0.5,0.8,127,0.7966,9256,11108,83.33,83.33,26.47,coarse,
S,0.5,0.9,29,0.5013,10933,11108,98.42,98.42,11.10,coarse,
S,0.6,0.5,423,0.8829,6859,11108,61.75,61.75,30.63,coarse,
S,0.6,0.6,239,0.8889,6875,11108,61.89,61.89,23.81,coarse,
S,0.6,0.7,169,0.8674,8123,11108,73.13,73.13,19.45,coarse,
S,0.6,0.8,124,0.7829,9496,11108,85.49,85.49,13.45,coarse,
S,0.6,0.9,44,0.5385,10757,11108,96.84,96.84,10.74,coarse,
S,0.7,0.5,564,0.8643,6276,11108,56.50,56.50,36.92,coarse,
S,0.7,0.6,286,0.8724,6986,11108,62.89,62.89,21.51,coarse,
S,0.7,0.7,180,0.8242,8046,11108,72.43,72.43,18.66,coarse,
S,0.7,0.8,103,0.7497,10400,11108,93.63,93.63,12.76,coarse,
S,0.7,0.9,36,0.5753,11065,11108,99.61,99.61,8.52,coarse,
S,0.8,0.5,681,0.8802,5537,11108,49.85,49.85,38.28,coarse,
S,0.8,0.6,354,0.8732,5622,11108,50.61,50.61,26.05,coarse,
S,0.8,0.7,209,0.8141,7736,11108,69.64,69.64,16.89,coarse,
S,0.8,0.8,103,0.7178,10476,11108,94.31,94.31,13.56,coarse,
S,0.8,0.9,52,0.5795,10691,11108,96.25,96.25,8.94,coarse,
S,0.9,0.5,724,0.8552,5470,11108,49.24,49.24,41.11,coarse,
S,0.9,0.6,414,0.8760,5394,11108,48.56,48.56,27.00,coarse,
S,0.9,0.7,242,0.8243,6864,11108,61.79,61.79,17.99,coarse,
S,0.9,0.8,138,0.7570,9271,11108,83.46,83.46,14.86,coarse,
S,0.9,0.9,32,0.5677,11108,11108,100.00,100.00,8.48,coarse,
News,0.4,0.5,394,0.8689,5552,11109,49.98,49.98,2716.86,coarse,
News,0.4,0.6,288,0.8599,6049,11109,54.45,54.45,1517.38,coarse,
News,0.4,0.7,233,0.8715,7541,11109,67.88,67.88,1055.81,coarse,
News,0.4,0.8,176,0.8479,8468,11109,76.23,76.23,593.48,coarse,
News,0.4,0.9,118,0.7783,9840,11109,88.58,88.58,257.41,coarse,
News,0.5,0.5,415,0.8854,5144,11109,46.30,46.30,357.94,coarse,
News,0.5,0.6,319,0.8583,5527,11109,49.75,49.75,323.72,coarse,
News,0.5,0.7,257,0.8741,6206,11109,55.86,55.86,247.82,coarse,
News,0.5,0.8,201,0.8598,8307,11109,74.78,74.78,132.42,coarse,
News,0.5,0.9,132,0.8114,9023,11109,81.22,81.22,56.00,coarse,
News,0.6,0.5,513,0.8839,4880,11109,43.93,43.93,75.45,coarse,
News,0.6,0.6,345,0.8809,5222,11109,47.01,47.01,56.87,coarse,
